md,country,year
17.879,Algeria,2017
2.146,Angola,2017
29.56,Antigua and Barbuda,2017
39.901,Argentina,2017
44.023,Armenia,2017
36.778,Australia,2017
51.697,Austria,2017
20.068,Bahamas,2017
5.433,Bangladesh,2017
24.843,Barbados,2017
30.709,Belgium,2017
11.229,Belize,2017
4.024,Bhutan,2017
21.652,Brazil,2017
16.09,Brunei Darussalam,2017
0.847,Burkina Faso,2017
1.001,Burundi,2017
0.434,Chad,2017
24.411,Chile,2017
19.798,China,2017
21.064,Colombia,2017
29.533,Costa Rica,2017
82.95,Cuba,2017
40.676,Czechia,2017
36.834,Democratic People's Republic of Korea,2017
11.189,Dominica,2017
7.993,Egypt,2017
4.017,Equatorial Guinea,2017
34.629,Estonia,2017
0.986,Ethiopia,2017
32.565,France,2017
6.819,Gabon,2017
61.297,Georgia,2017
42.488,Germany,2017
1.359,Ghana,2017
54.789,Greece,2017
